Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count
2023,FYTD,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1566
2023,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,11370
2023,FYTD,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,12268
2023,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,393
2023,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,243
2023,FYTD,JUL,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,1318
2023,FYTD,JUL,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,6139
2023,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,15951
2023,FYTD,JUL,Office of Field Operations,UAC,El Salvador,Title 8,Inadmissibles,9
2023,FYTD,JUL,Office of Field Operations,UAC,Guatemala,Title 8,Inadmissibles,48
2023,FYTD,JUL,Office of Field Operations,UAC,Honduras,Title 8,Inadmissibles,45
2023,FYTD,JUL,Office of Field Operations,UAC,Mexico,Title 8,Inadmissibles,303
2023,FYTD,JUL,Office of Field Operations,UAC,Other,Title 8,Inadmissibles,195
2023,FYTD,JUL,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1447
2023,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,13638
2023,FYTD,JUL,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,16054
2023,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,10329
2023,FYTD,JUL,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,18697
2023,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1055
2023,FYTD,JUL,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,4296
2023,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,3922
2023,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,23683
2023,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,29486
2023,FYTD,JUL,U.S. Border Patrol,UAC,El Salvador,Title 8,Apprehensions,560
2023,FYTD,JUL,U.S. Border Patrol,UAC,Guatemala,Title 8,Apprehensions,3556
